BP_LOC_ID,LATITUDE,LONGITUDE,COUNT_ID,MUNICIPALITY,FACILITY_NAME,CNT_LOC_DESCRIPTION,STREET_1,STREET_2,STREET_3,STREET_4,STREET_5,STREET_6,CNT_DESCRIPTION,TEMPERATURE,SKY,FACILITY_TYPE,COUNT_TYPE,FROM_ST_NAME,FROM_ST_DIR,TO_ST_NAME,TO_ST_DIR,COUNT_DATE,COUNT_DOW,CNT_0630,CNT_0645,CNT_0700,CNT_0715,CNT_0730,CNT_0745,CNT_0800,CNT_0815,CNT_0830,CNT_0845,CNT_0900,CNT_0915,CNT_0930,CNT_0945,CNT_1000,CNT_1015,CNT_1030,CNT_1045,CNT_1100,CNT_1115,CNT_1130,CNT_1145,CNT_1200,CNT_1215,CNT_1230,CNT_1245,CNT_1300,CNT_1315,CNT_1330,CNT_1345,CNT_1400,CNT_1415,CNT_1430,CNT_1445,CNT_1500,CNT_1515,CNT_1530,CNT_1545,CNT_1600,CNT_1615,CNT_1630,CNT_1645,CNT_1700,CNT_1715,CNT_1730,CNT_1745,CNT_1800,CNT_1815,CNT_1830,CNT_1845,CNT_1900,CNT_1915,CNT_1930,CNT_1945,CNT_2000,CNT_2015,CNT_2030,CNT_2045,CNT_TOTAL
20014,42.35064521,-71.11091931,7003,Boston,BU Br.,BU BRIDGE / COMMONWEALTH AVE / ESSEX ST,Comm Ave.,Essex St.,BU Br.,,,,,54,3,Street Intersection,B,Comm Ave.,WB,Comm Ave.,WB,10/9/1975,Th,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,9,6,10,1,5,5,7,10,9,15,10,17,21,20,19,25,21,18,16,,,,,,,,,,,,,256
20014,42.35064521,-71.11091931,7003,Boston,BU Br.,BU BRIDGE / COMMONWEALTH AVE / ESSEX ST,Comm Ave.,Essex St.,BU Br.,,,,,54,3,Street Intersection,B,Comm Ave.,WB,Essex St.,SB,10/9/1975,Th,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,2,0,8,4,3,1,1,1,0,1,0,2,1,0,1,1,1,2,,,,,,,,,,,,,30
20014,42.35064521,-71.11091931,7003,Boston,BU Br.,BU BRIDGE / COMMONWEALTH AVE / ESSEX ST,Comm Ave.,Essex St.,BU Br.,,,,,54,3,Street Intersection,B,Comm Ave.,WB,BU Br.,NB,10/9/1975,Th,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,4,9,6,6,8,7,5,3,5,13,8,14,12,16,15,19,15,11,4,,,,,,,,,,,,,195
20014,42.35064521,-71.11091931,7003,Boston,BU Br.,BU BRIDGE / COMMONWEALTH AVE / ESSEX ST,Comm Ave.,Essex St.,BU Br.,,,,,54,3,Street Intersection,B,Essex St.,NB,Comm Ave.,EB,10/9/1975,Th,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,0,0,2,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,,,,,,,,,,,,,11
20014,42.35064521,-71.11091931,7003,Boston,BU Br.,BU BRIDGE / COMMONWEALTH AVE / ESSEX ST,Comm Ave.,Essex St.,BU Br.,,,,,54,3,Street Intersection,B,Essex St.,NB,BU Br.,NB,10/9/1975,Th,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,4,0,4,2,0,1,3,3,1,4,7,4,5,5,5,2,4,6,,,,,,,,,,,,,65
20014,42.35064521,-71.11091931,7003,Boston,BU Br.,BU BRIDGE / COMMONWEALTH AVE / ESSEX ST,Comm Ave.,Essex St.,BU Br.,,,,,54,3,Street Intersection,B,Essex St.,NB,Comm Ave.,WB,10/9/1975,Th,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,,,,,,,,,,,,,13
20014,42.35064521,-71.11091931,7003,Boston,BU Br.,BU BRIDGE / COMMONWEALTH AVE / ESSEX ST,Comm Ave.,Essex St.,BU Br.,,,,,54,3,Street Intersection,B,BU Br.,SB,Comm Ave.,EB,10/9/1975,Th,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,2,1,1,2,0,2,1,3,2,1,0,0,2,1,1,3,3,0,3,,,,,,,,,,,,,36
20014,42.35064521,-71.11091931,7003,Boston,BU Br.,BU BRIDGE / COMMONWEALTH AVE / ESSEX ST,Comm Ave.,Essex St.,BU Br.,,,,,54,3,Street Intersection,B,BU Br.,SB,Essex St.,SB,10/9/1975,Th,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,3,3,0,2,1,3,2,3,7,2,3,3,5,7,8,11,12,7,,,,,,,,,,,,,87
20014,42.35064521,-71.11091931,7003,Boston,BU Br.,BU BRIDGE / COMMONWEALTH AVE / ESSEX ST,Comm Ave.,Essex St.,BU Br.,,,,,54,3,Street Intersection,B,BU Br.,SB,Comm Ave.,WB,10/9/1975,Th,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,2,4,8,0,1,1,1,1,2,6,2,7,5,3,4,6,5,,,,,,,,,,,,,63
20014,42.35064521,-71.11091931,7003,Boston,BU Br.,BU BRIDGE / COMMONWEALTH AVE / ESSEX ST,Comm Ave.,Essex St.,BU Br.,,,,,54,3,Street Intersection,B,Comm Ave.,EB,BU Br.,NB,10/9/1975,Th,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,2,5,0,0,2,2,,,,,,,,,,,,,19
20014,42.35064521,-71.11091931,7003,Boston,BU Br.,BU BRIDGE / COMMONWEALTH AVE / ESSEX ST,Comm Ave.,Essex St.,BU Br.,,,,,54,3,Street Intersection,B,Comm Ave.,EB,Essex St.,SB,10/9/1975,Th,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,0,0,1,0,0,0,0,1,0,3,0,0,0,3,1,0,1,1,,,,,,,,,,,,,14
20014,42.35064521,-71.11091931,7003,Boston,BU Br.,BU BRIDGE / COMMONWEALTH AVE / ESSEX ST,Comm Ave.,Essex St.,BU Br.,,,,,54,3,Street Intersection,B,Comm Ave.,EB,Comm Ave.,EB,10/9/1975,Th,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,4,6,10,5,12,2,6,4,4,7,11,4,10,3,2,3,2,3,5,,,,,,,,,,,,,115
10127,42.34876855,-71.09696855,7004,Boston,Kenmore Square,KENMORE SQUARE - COMMONWEALTH AVE / BEACON ST / BROOKLINE AVE,Comm Ave.,Beacon St.,Brookline Ave.,Deerfield St.,,,,54,3,Street Intersection,B,Comm Ave.,WB,Brookline Ave.,SB,10/9/1975,Th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,2,0,0,1,0,0,0,1,0,0,1,0,0,,,,,,,,,,,,,7
10127,42.34876855,-71.09696855,7004,Boston,Kenmore Square,KENMORE SQUARE - COMMONWEALTH AVE / BEACON ST / BROOKLINE AVE,Comm Ave.,Beacon St.,Brookline Ave.,Deerfield St.,,,,54,3,Street Intersection,B,Comm Ave.,WB,Beacon St.,WB,10/9/1975,Th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,0,0,1,1,0,2,0,0,0,0,,,,,,,,,,,,,6
