latitude,longitude,frequency
42.849000000000004,-71.272,1
42.368,-71.059,14
42.251,-71.121,279
42.301,-71.287,6
42.361000000000004,-71.06,2633
42.374,-71.131,186
42.363,-71.128,88
42.589,-71.262,1
42.487,-70.868,8
42.355000000000004,-71.149,32
42.285000000000004,-71.141,1
42.351,-71.112,1415
42.265,-71.138,332
42.271,-71.06400000000001,369
42.33,-71.039,52
42.344,-71.095,1154
42.586,-71.252,2
42.376,-71.121,53
42.248,-71.14,151
42.300000000000004,-71.059,4
42.399,-71.12,17
42.341,-71.037,11
42.376,-71.127,21
42.45,-71.138,9
42.332,-71.203,32
42.375,-71.08500000000001,24
42.362,-71.14,25
42.322,-71.048,12
42.329,-71.036,836
42.326,-71.118,2
42.432,-71.048,9
42.397,-71.137,71
42.338,-71.136,34
42.374,-71.083,63
42.346000000000004,-71.09,234
42.374,-71.128,30
42.339,-71.159,12
42.344,-71.071,213
42.39,-71.121,93
42.29,-71.109,6
42.332,-71.024,156
42.345,-71.087,160
42.339,-71.012,38
42.341,-71.15,41
42.383,-71.075,19
43.036,-71.415,1
42.331,-71.099,12
42.352000000000004,-71.108,5
42.36,-71.153,58
42.35,-71.172,20
42.342,-71.057,9
43.160000000000004,-71.471,1
42.336,-71.035,55
42.464,-71.146,3
42.336,-71.026,65
42.333,-71.168,26
42.393,-71.112,29
42.263,-71.27,1
42.378,-71.06,1
42.368,-71.095,956
42.354,-71.074,524
42.37,-71.08,147
42.329,-71.268,4
42.352000000000004,-71.133,12
42.414,-71.134,2
42.423,-71.143,6
42.335,-71.268,19
42.368,-71.118,224
42.409,-71.054,18
42.475,-71.151,1
42.297000000000004,-71.092,1146
42.625,-71.305,3
42.352000000000004,-71.09,9690
42.34,-71.101,296
42.343,-71.07300000000001,193
42.297000000000004,-71.129,4
42.377,-71.053,5
42.437,-71.068,6
42.452,-71.05,82
42.349000000000004,-71.153,19
42.344,-71.036,684
42.368,-71.098,31
42.463,-70.956,12
42.346000000000004,-71.032,13
42.467,-70.909,10
42.458,-71.135,1
42.293,-71.107,714
42.343,-71.083,68
42.351,-71.113,870
42.642,-71.311,2
42.357,-71.136,12
42.315,-71.104,1
42.365,-71.072,55
42.351,-71.099,1782
42.61,-71.288,2
42.332,-71.248,7
42.335,-71.152,17
42.445,-71.047,73
42.44,-71.146,2
42.349000000000004,-71.104,1608
42.424,-71.138,3
42.293,-71.098,25
42.414,-71.08500000000001,1
42.274,-71.061,258
42.34,-71.132,6
42.339,-71.122,14
42.324,-71.118,344
42.345,-71.057,54
42.352000000000004,-71.049,294
42.327,-71.253,17
42.474000000000004,-70.891,11
42.458,-71.06,6
42.288000000000004,-71.122,3
42.356,-71.061,765
42.371,-71.069,10
42.286,-71.065,624
42.39,-71.108,40
42.333,-71.102,6
42.27,-71.102,368
42.317,-71.209,2
42.601,-71.122,1
42.355000000000004,-71.151,9
42.216,-71.024,1
42.343,-71.042,1
42.323,-71.12,862
42.462,-70.959,5
42.349000000000004,-71.062,58
42.353,-71.05,2286
42.272,-71.107,115
42.305,-71.058,6
42.324,-71.211,9
42.338,-71.31700000000001,11
42.261,-71.10000000000001,143
42.367000000000004,-71.037,12
42.375,-71.096,48
42.313,-71.124,3
42.34,-71.16,11
42.287,-71.071,8
42.337,-71.026,11
42.324,-71.357,22
42.38,-71.129,15
42.316,-71.098,7
42.428000000000004,-71.143,1
42.339,-71.10000000000001,25
42.355000000000004,-71.10000000000001,95
42.352000000000004,-71.089,8019
43.204,-71.536,1
42.355000000000004,-71.08200000000001,127
42.275,-71.057,4
42.377,-71.106,905
42.453,-71.06700000000001,8
42.378,-71.125,35
42.379,-71.117,31
42.276,-71.146,358
42.336,-71.187,10
42.367000000000004,-71.12,2297
42.468,-71.149,4
42.341,-71.09700000000001,762
42.37,-71.11,301
42.341,-71.07900000000001,19
42.36,-71.095,96
42.381,-71.111,372
42.358000000000004,-71.057,4647
42.34,-71.036,1707
42.351,-71.10000000000001,2654
42.375,-71.137,1
42.325,-71.089,3
42.626,-71.305,3
42.244,-71.136,434
42.386,-71.09700000000001,41
42.352000000000004,-71.115,3116
42.327,-71.062,5
42.578,-71.234,2
42.356,-71.134,12
42.367000000000004,-71.107,115
42.365,-71.078,29
42.838,-71.261,1
42.319,-71.118,17
42.832,-71.256,1
42.352000000000004,-71.072,2244
42.300000000000004,-71.051,1
42.386,-71.107,22
42.395,-71.124,18
42.286,-71.063,372
42.385,-71.12,125
42.374,-71.107,48
42.346000000000004,-71.106,593
42.319,-71.095,10
42.341,-71.148,29
42.387,-71.039,4
42.37,-71.083,3
42.309,-71.059,30
42.32,-71.264,9
42.356,-71.06,4190
42.388,-71.112,4
42.348,-71.06400000000001,57
42.37,-71.058,88
42.338,-71.269,22
42.417,-71.154,3
42.286,-71.149,49
42.377,-71.112,14
42.337,-71.217,14
42.369,-71.068,750
42.369,-71.191,26
42.279,-71.098,6
42.339,-71.284,15
42.366,-71.149,68
42.384,-71.11,103
42.318,-71.046,3
42.394,-71.117,73
43.072,-71.45400000000001,1
42.352000000000004,-71.155,32
42.426,-71.145,5
42.396,-71.104,23
42.302,-71.113,32
42.329,-71.139,26
42.288000000000004,-71.04,617
42.286,-71.103,11
42.316,-71.05,2
42.233000000000004,-71.029,1
42.283,-71.038,1
42.465,-71.146,3
42.259,-71.282,1
42.343,-71.145,3
42.341,-71.102,397
42.546,-71.163,3
42.313,-71.033,984
42.36,-71.161,28
42.281,-71.146,516
42.362,-71.141,26
42.339,-71.285,33
42.34,-71.095,25
42.339,-71.283,1
42.369,-71.127,2345
42.305,-71.059,16
42.43,-71.022,13
42.357,-71.169,11
42.337,-71.077,67
42.341,-71.087,145
42.345,-71.06400000000001,33
42.243,-71.134,204
42.356,-71.068,7516
42.317,-71.112,30
42.276,-71.07000000000001,466
42.33,-71.206,51
42.362,-71.08800000000001,159
42.313,-71.046,701
42.377,-71.066,62
42.363,-71.09700000000001,101
42.336,-71.268,26
42.321,-71.119,45
42.339,-71.05,11
42.353,-71.054,1524
42.353,-71.06,295
42.301,-71.087,1131
42.554,-71.182,1
42.372,-71.111,35
42.329,-71.035,898
42.371,-71.107,96
42.365,-71.186,11
42.341,-71.077,227
42.438,-70.992,11
42.35,-71.176,190
42.38,-71.114,82
42.376,-71.096,129
42.343,-71.104,643
42.348,-71.046,560
42.371,-71.071,22
42.304,-71.122,1173
42.456,-70.974,2
42.297000000000004,-71.202,3
42.301,-71.086,954
42.403,-71.124,16
42.32,-71.058,2
42.258,-71.282,2
42.418,-71.157,31
43.09,-71.455,1
42.352000000000004,-71.081,261
42.4,-71.133,3
42.353,-71.087,240
42.335,-71.037,95
42.392,-71.11,25
42.331,-71.185,11
42.365,-71.06700000000001,857
42.258,-71.113,219
42.414,-71.049,12
42.342,-71.307,8
42.302,-71.10000000000001,3
42.288000000000004,-71.053,75
42.33,-71.04,351
42.267,-71.224,1
42.381,-71.069,13
42.462,-70.964,12
42.272,-71.049,1
42.364000000000004,-71.061,1313
42.342,-71.105,14
42.319,-71.048,8
42.621,-71.3,3
42.322,-71.119,20
42.573,-71.221,1
42.368,-71.068,126
42.457,-70.93900000000001,11
42.355000000000004,-71.048,36
42.265,-71.298,1
42.373,-71.10000000000001,217
42.392,-71.113,94
42.411,-71.143,6
42.359,-71.057,8323
42.361000000000004,-71.144,26
42.343,-71.08200000000001,5
42.374,-71.114,60
42.396,-71.123,540
42.36,-71.13,17
42.347,-71.129,41
42.317,-71.05,30
43.097,-71.452,1
42.429,-71.02,19
42.429,-71.031,11
42.628,-71.31,1
42.305,-71.122,1171
42.527,-71.16,3
42.354,-71.066,900
42.437,-71.103,1
42.353,-71.136,265
42.412,-71.149,11
42.277,-71.143,1211
42.42,-71.143,7
42.352000000000004,-71.07000000000001,3040
42.341,-71.297,29
42.336,-71.15,121
42.384,-71.115,196
42.338,-71.039,79
42.374,-71.111,1
42.346000000000004,-71.118,21
42.606,-71.287,1
42.32,-71.117,81
42.341,-71.239,5
42.285000000000004,-71.143,2
42.375,-71.156,14
42.32,-71.123,714
42.335,-71.039,67
42.336,-71.19500000000001,3
42.288000000000004,-71.055,308
42.352000000000004,-71.08,286
42.49,-71.134,1
42.451,-71.048,4
42.294000000000004,-71.138,403
42.329,-71.143,19
42.388,-71.102,6
42.459,-71.049,1
42.33,-71.209,14
42.337,-71.111,970
42.477000000000004,-70.883,12
42.306,-71.059,31
42.289,-71.134,3
42.297000000000004,-71.103,1271
42.357,-71.05,2421
42.364000000000004,-71.107,14
42.33,-71.032,988
42.466,-71.147,3
42.252,-71.266,2
42.396,-71.14,12
42.275,-71.093,8
42.295,-71.051,8
42.378,-71.061,30
42.299,-71.122,1
42.338,-71.16,4
42.304,-71.09,4
42.245,-71.126,178
42.32,-71.08200000000001,19
42.31,-71.038,993
42.288000000000004,-71.047,130
42.367000000000004,-71.053,1023
42.364000000000004,-71.12,91
42.300000000000004,-71.101,350
42.414,-71.137,2
42.317,-71.049,46
42.35,-71.127,126
