latitude,longitude,frequency
42.3285,-71.2415,1
42.349000000000004,-71.0845,290
42.368,-71.059,3
42.3325,-71.014,19
42.3405,-71.1275,61
42.3425,-71.039,51
42.374,-71.103,22
42.286500000000004,-71.147,4
42.251,-71.121,69
42.3415,-71.15,8
42.4305,-71.059,2
42.3525,-71.13,136
42.3385,-71.113,2
42.4745,-70.89,6
42.3415,-71.2975,8
42.352000000000004,-71.0865,220
42.3455,-71.0965,58
42.361000000000004,-71.06,354
42.351,-71.13850000000001,66
42.374,-71.0685,117
42.363,-71.0655,239
42.3185,-71.041,1
42.3465,-71.0985,31
42.339,-71.137,64
42.358000000000004,-71.1435,7
42.362,-71.0555,768
42.3145,-71.1055,34
42.286,-71.1425,17
42.359,-71.114,16
42.347500000000004,-71.141,25
42.351,-71.112,8
42.364000000000004,-71.141,18
42.258,-71.1125,178
42.36,-71.13250000000001,4
42.293,-71.09700000000001,21
42.265,-71.138,18
42.4585,-71.06400000000001,3
42.33,-71.039,2
42.3615,-71.0805,478
42.344,-71.095,562
42.336,-71.1895,7
42.3395,-71.132,56
42.355000000000004,-71.1345,11
42.362500000000004,-71.059,639
42.344,-71.115,100
42.341,-71.0995,9
42.376,-71.127,3
42.336,-71.037,6
42.3385,-71.29,5
42.2695,-71.1405,168
42.3455,-71.071,4
42.3615,-71.0725,304
42.4,-71.1115,1
42.322,-71.048,4
42.5165,-71.161,1
42.356500000000004,-71.0645,371
42.351,-71.0845,58
42.2935,-71.14,234
42.4415,-71.0495,20
42.307,-71.1105,17
42.397,-71.137,17
42.26,-71.081,8
42.2735,-71.1405,362
42.4005,-71.136,22
42.4365,-71.1455,1
42.346000000000004,-71.1525,18
42.374,-71.128,20
42.269,-71.2195,2
42.301500000000004,-71.0865,556
42.365,-71.138,18
42.4955,-71.134,1
42.341,-71.15,15
42.3415,-71.048,8
42.4155,-71.072,15
42.353500000000004,-71.081,233
42.2815,-71.071,4
42.39,-71.121,91
42.275,-71.1455,3
42.3525,-71.109,2
42.3365,-71.028,37
42.3515,-71.124,109
42.3115,-71.0385,6
42.47,-71.1495,2
42.3855,-71.095,6
42.339,-71.012,17
42.4675,-70.9075,5
42.301,-71.125,5
42.356,-71.136,6
42.341,-71.0875,36
42.3665,-71.0865,8
42.286,-71.0395,35
42.365500000000004,-71.0635,95
42.4505,-71.048,37
42.3215,-71.1135,3
42.297000000000004,-71.0995,9
42.383,-71.075,1
42.3485,-71.04,33
42.3395,-71.106,9
42.3615,-71.0815,274
42.3005,-71.128,7
42.5885,-71.257,1
42.289,-71.0725,1
42.352000000000004,-71.0455,14
42.36,-71.153,19
42.35,-71.1095,461
42.35,-71.1055,362
42.359,-71.0635,149
42.339,-71.0835,44
42.336,-71.151,26
42.395,-71.1105,16
42.3525,-71.0605,74
42.3685,-71.07000000000001,276
42.333,-71.168,6
42.344,-71.0745,8
42.4555,-71.0495,15
42.301500000000004,-71.287,6
42.3545,-71.0565,240
42.378,-71.06,1
42.2825,-71.046,192
42.3725,-71.2015,9
42.3935,-71.133,23
42.3055,-71.2825,7
42.27,-71.071,192
42.3585,-71.09,12
42.354,-71.074,139
42.278,-71.12650000000001,6
42.639,-71.3135,3
42.3675,-71.055,350
42.329,-71.3305,12
42.414500000000004,-71.133,1
42.3515,-71.0715,843
42.3335,-71.1615,16
42.2625,-71.1375,2
42.3355,-71.0425,19
42.3605,-71.0805,999
42.2725,-71.143,1
42.350500000000004,-71.0905,674
42.368,-71.0555,448
42.4195,-71.142,3
42.279,-71.0975,2
42.296,-71.12950000000001,360
42.3775,-71.122,1
42.5415,-71.1665,2
42.3465,-71.054,1
42.35,-71.1715,8
42.35,-71.0885,56
42.369,-71.1345,15
42.38,-71.1175,6
42.359500000000004,-71.1545,1
42.375,-71.1175,1
42.352000000000004,-71.09,6134
42.34,-71.1635,10
42.338,-71.0955,23
42.3325,-71.1755,15
42.6105,-71.288,1
42.286,-71.1455,12
42.431,-71.0235,6
42.343,-71.07300000000001,78
42.4125,-71.1495,9
42.359500000000004,-71.0665,32
42.2635,-71.0965,90
42.297000000000004,-71.104,347
42.353,-71.136,38
42.376,-71.1375,7
42.347500000000004,-71.0785,64
42.359500000000004,-71.06700000000001,77
42.3315,-71.1165,4
42.452,-71.05,5
42.351,-71.0495,31
42.54,-71.167,1
42.349000000000004,-71.0905,158
42.2815,-71.0985,3
42.3975,-71.135,12
42.368,-71.098,31
42.350500000000004,-71.0925,16
42.3725,-71.133,24
42.346000000000004,-71.0945,3
42.379,-71.051,3
42.239000000000004,-71.1255,55
42.338,-71.157,1
42.342,-71.0965,51
42.2705,-71.0725,17
42.3375,-71.0125,14
42.293,-71.107,198
42.3835,-71.129,11
42.343,-71.083,21
42.268,-71.0745,1
42.3525,-71.118,3
42.4255,-71.1815,13
42.354,-71.1115,287
42.3575,-71.0925,81
42.351,-71.0505,135
42.3295,-71.2485,25
42.2945,-71.136,89
42.3785,-71.061,3
42.3575,-71.1675,15
42.4565,-70.9375,4
42.315,-71.0415,14
42.621,-71.299,2
42.3355,-71.1105,107
42.271,-71.06400000000001,28
42.3195,-71.1125,21
42.367000000000004,-71.061,324
42.528,-71.1525,1
42.351,-71.099,1015
42.3995,-71.119,6
42.348,-71.10000000000001,350
42.2875,-71.0665,1
42.426500000000004,-71.014,7
42.351,-71.069,23
42.445,-71.047,25
42.344,-71.0325,1
42.3585,-71.124,15
42.316,-71.035,3
42.3465,-71.087,4
42.2525,-71.271,1
42.3075,-71.2795,10
42.349000000000004,-71.104,134
42.376,-71.096,13
42.3615,-71.0755,1251
42.3495,-71.0595,9
42.333,-71.025,154
42.3095,-71.2775,7
42.3365,-71.186,11
42.4475,-71.1045,1
42.350500000000004,-71.08800000000001,30
42.429,-70.9985,2
42.286500000000004,-71.0655,2
42.2775,-71.0695,18
42.358000000000004,-71.128,16
42.2825,-71.03750000000001,1
42.246,-71.137,4
42.373,-71.2025,7
42.339,-71.048,7
42.3615,-71.059,148
42.324,-71.118,27
42.334,-71.16250000000001,3
42.46,-70.9445,2
42.297000000000004,-71.0965,2
42.3935,-71.13850000000001,7
42.36,-71.06400000000001,86
42.289500000000004,-71.049,151
42.35,-71.131,68
42.295500000000004,-71.048,473
42.474000000000004,-70.891,4
42.3955,-71.1225,53
42.288000000000004,-71.122,3
42.356,-71.061,20
42.371,-71.069,3
42.286,-71.065,166
42.31,-71.1075,93
42.2705,-71.102,190
42.3325,-71.102,1
42.366,-71.0495,32
42.317,-71.209,1
42.3355,-71.027,57
42.351,-71.0595,209
42.355000000000004,-71.151,9
42.3685,-71.0355,3
42.341,-71.0865,19
42.294000000000004,-71.1365,155
42.401,-71.12650000000001,19
42.325,-71.1135,13
42.4065,-71.0645,37
42.242,-71.12650000000001,303
42.323,-71.12,236
42.4645,-70.926,1
42.3355,-71.035,55
42.3315,-71.1135,30
42.286500000000004,-71.062,118
42.353,-71.1125,3
42.3615,-71.0855,42
42.3515,-71.1235,219
42.4595,-71.0445,8
42.3675,-71.058,356
42.369,-71.0365,3
42.269,-71.1405,100
42.5145,-71.143,1
42.331,-71.1435,17
42.382,-71.111,47
42.278,-71.142,10
42.403,-71.1345,2
42.542,-71.169,1
42.391,-71.099,3
42.3235,-71.10000000000001,41
42.371,-71.0575,20
42.367000000000004,-71.0995,157
42.378,-71.089,12
42.3125,-71.0335,3
42.3755,-71.0615,430
42.372,-71.0605,213
42.34,-71.16,8
42.332,-71.203,10
42.3495,-71.071,69
42.334,-71.135,5
42.356500000000004,-71.132,23
42.4565,-70.97200000000001,1
42.307,-71.109,5
42.4675,-70.904,7
42.375,-71.08500000000001,19
42.363,-71.144,44
42.3145,-71.1185,1
42.292,-71.108,98
42.300000000000004,-71.101,346
42.3665,-71.052,493
42.354,-71.162,31
42.616,-71.29,1
42.36,-71.0945,16
42.2915,-71.05,5
42.339,-71.03750000000001,34
42.355000000000004,-71.10000000000001,8
42.2615,-71.26350000000001,3
42.352000000000004,-71.089,3785
42.3195,-71.1025,6
42.329,-71.036,358
42.3465,-71.0545,29
42.3205,-71.09400000000001,1
42.3635,-71.07900000000001,31
42.2365,-71.129,1
42.3345,-71.0575,21
42.343,-71.0535,5
42.3385,-71.2275,10
42.365500000000004,-71.1055,1
42.344500000000004,-71.09700000000001,6
42.3395,-71.037,10
42.3065,-71.0465,432
42.3145,-71.106,22
42.353500000000004,-71.0855,12
42.4255,-71.0125,6
42.357,-71.0595,351
42.3635,-71.144,6
42.3335,-71.1675,12
42.435,-70.994,2
42.351,-71.0925,1
42.359500000000004,-71.0615,227
42.254,-71.117,202
42.3385,-71.2085,1
42.336,-71.187,5
42.367000000000004,-71.0575,27
42.29,-71.0435,196
42.382,-71.075,2
42.426,-71.1395,1
42.2785,-71.09700000000001,2
42.3345,-71.137,2
42.350500000000004,-71.0435,923
42.62,-71.2975,2
42.334,-71.119,7
42.3435,-71.102,11
42.36,-71.095,80
42.3275,-71.253,16
42.3735,-71.0995,32
42.4435,-71.0485,13
42.3685,-71.084,6
42.291000000000004,-71.0465,19
42.5005,-71.157,1
42.27,-71.0665,24
42.34,-71.036,415
42.372,-71.053,12
42.263,-71.1405,11
42.3715,-71.0795,11
42.287,-71.13,32
42.351,-71.10000000000001,1431
42.375,-71.137,1
42.399,-71.1195,14
42.362,-71.111,6
42.3485,-71.0465,165
42.3025,-71.118,4
42.288000000000004,-71.108,176
42.3665,-71.0545,28
42.4405,-70.99,5
42.35,-71.146,7
42.2885,-71.0675,33
42.336,-71.041,31
42.3545,-71.0815,4119
42.369,-71.0735,444
42.386,-71.09700000000001,26
42.38,-71.22500000000001,8
42.2935,-71.1085,1
42.3875,-71.11,13
42.352000000000004,-71.0525,382
42.327,-71.062,1
42.369,-71.1205,10
42.3755,-71.21300000000001,10
42.2655,-71.2965,1
42.356,-71.0715,158
42.237,-71.13250000000001,268
42.4275,-71.1405,1
42.297000000000004,-71.2045,1
42.3285,-71.0865,16
42.2935,-71.0945,2
42.326,-71.053,10
42.362,-71.0985,71
42.261,-71.10000000000001,2
42.343,-71.0465,2
42.288000000000004,-71.13550000000001,3
42.2715,-71.2055,1
42.3515,-71.1655,15
42.374,-71.083,36
42.300000000000004,-71.0495,92
42.3825,-71.1115,26
42.414500000000004,-71.1345,1
42.3455,-71.0775,1
42.3735,-71.0305,3
42.302,-71.1285,19
42.395,-71.124,4
42.398,-71.13250000000001,15
42.286,-71.063,177
42.3835,-71.07300000000001,2
42.349000000000004,-71.1515,19
42.3225,-71.12,790
42.3115,-71.107,7
42.336,-71.0325,4
42.346000000000004,-71.0435,14
42.2355,-71.1255,5
42.341,-71.148,15
42.3585,-71.071,853
42.3585,-71.065,42
42.349000000000004,-71.1575,14
42.361000000000004,-71.0725,1740
42.364000000000004,-71.0865,1
42.37,-71.083,3
42.297000000000004,-71.121,50
42.3715,-71.1215,47
42.32,-71.264,2
42.356,-71.06,1523
42.4255,-71.188,2
42.3485,-71.099,254
42.337,-71.0975,32
42.365,-71.0875,7
42.348,-71.06400000000001,12
42.3355,-71.268,17
42.3075,-71.1205,41
42.37,-71.1145,15
42.3615,-71.078,1617
42.2615,-71.2565,1
42.286,-71.149,4
42.4285,-71.032,2
42.294000000000004,-71.1425,3
42.289500000000004,-71.1335,1
42.337,-71.217,6
42.4315,-71.068,4
42.3305,-71.057,5
42.362,-71.137,16
42.264,-71.292,1
42.3415,-71.0355,53
42.3405,-71.273,11
42.4225,-71.042,3
42.3615,-71.0515,225
42.376,-71.1305,13
42.366,-71.0865,12
42.3545,-71.072,853
42.2935,-71.1425,1
42.3805,-71.1085,148
42.3885,-71.09700000000001,13
42.394,-71.117,52
43.072,-71.45400000000001,1
42.352000000000004,-71.155,10
42.324,-71.348,3
42.353500000000004,-71.0595,51
42.2655,-71.13850000000001,3
42.2915,-71.0425,1
42.350500000000004,-71.1275,58
42.3385,-71.0975,12
42.426,-71.145,1
42.396,-71.104,3
42.344500000000004,-71.087,20
42.302,-71.113,1
42.347,-71.037,8
42.2665,-71.139,42
42.350500000000004,-71.1025,212
42.3485,-71.0405,51
42.3525,-71.1275,82
42.375,-71.0685,13
42.336,-71.3205,8
42.409,-71.1455,1
42.358000000000004,-71.0915,22
42.3455,-71.1005,28
42.465,-71.146,2
42.283,-71.0445,113
42.3525,-71.07900000000001,112
42.259,-71.282,1
42.29,-71.109,2
42.3395,-71.24,7
42.2805,-71.145,68
42.341,-71.102,3
42.3315,-71.1155,7
42.3675,-71.062,8
42.343,-71.10000000000001,13
42.263,-71.07900000000001,2
42.384,-71.1105,155
42.546,-71.163,1
42.3525,-71.09100000000001,77
42.2605,-71.1395,125
42.335,-71.0905,89
42.2935,-71.14750000000001,1
42.3585,-71.1605,8
42.275,-71.0215,1
42.313,-71.033,470
42.3515,-71.0615,520
42.36,-71.161,8
42.398,-71.124,172
42.3395,-71.08,89
42.362,-71.0785,1283
42.488,-70.8665,8
42.343,-71.0265,5
42.339,-71.285,7
42.2775,-71.095,3
42.425000000000004,-71.1835,8
42.7365,-71.1945,1
42.3675,-71.1215,856
42.2845,-71.0715,196
42.382,-71.1315,58
42.326,-71.1175,2
42.3735,-71.113,23
42.3425,-71.0605,10
42.2945,-71.1065,366
42.2585,-71.27850000000001,1
42.369,-71.1055,48
42.2935,-71.1375,1
42.3215,-71.1125,20
42.362500000000004,-71.07000000000001,8
42.3705,-71.1945,1
42.359,-71.176,3
42.2805,-71.043,44
42.341,-71.087,63
42.3605,-71.13250000000001,20
42.271,-71.0735,84
42.351,-71.041,23
42.3325,-71.0815,48
42.3615,-71.144,13
42.338,-71.289,24
42.368,-71.0715,1359
42.3825,-71.099,28
42.3955,-71.103,11
42.356,-71.068,2022
42.317,-71.0495,12
42.249,-71.285,1
42.292500000000004,-71.125,11
42.276,-71.07000000000001,107
42.33,-71.206,15
42.2995,-71.08800000000001,17
42.3265,-71.2355,14
42.2935,-71.108,1
42.3705,-71.111,35
42.253,-71.1175,96
42.3765,-71.1375,20
42.291000000000004,-71.044,12
42.313,-71.046,3
42.377,-71.1285,18
42.363,-71.09700000000001,53
42.336,-71.268,7
42.365500000000004,-71.0565,192
42.258,-71.27250000000001,2
42.300000000000004,-71.0835,31
42.3255,-71.0835,10
42.321,-71.119,14
42.3395,-71.1285,1
42.388,-71.1105,8
42.3455,-71.041,46
42.36,-71.0535,1635
42.353,-71.054,115
42.353,-71.06,45
42.3635,-71.087,602
42.385,-71.1155,71
42.3135,-71.048,7
42.289,-71.108,6
42.3975,-71.107,5
42.373,-71.0675,63
42.3665,-71.1195,9
42.353500000000004,-71.07900000000001,985
42.388,-71.0855,15
42.292500000000004,-71.122,22
42.338,-71.01350000000001,163
42.329,-71.035,358
42.285000000000004,-71.104,179
42.423,-71.182,1
42.4275,-71.061,12
42.350500000000004,-71.086,23
42.3755,-71.117,22
42.4935,-70.8665,7
42.361000000000004,-71.0625,6040
42.35,-71.1135,33
42.3975,-71.06400000000001,22
42.3815,-71.12650000000001,6
42.32,-71.049,4
42.3305,-71.215,10
42.3355,-71.113,4
42.2905,-71.045,36
42.343,-71.104,18
42.348,-71.046,353
42.2735,-71.1395,6
42.3685,-71.154,14
42.3295,-71.0335,383
42.3515,-71.116,10
42.365,-71.0655,41
42.295500000000004,-71.0545,23
42.333,-71.20100000000001,6
42.2685,-71.221,1
42.304,-71.122,476
42.3695,-71.0855,8
42.298500000000004,-71.061,1
42.3635,-71.086,43
42.3405,-71.124,38
42.375,-71.112,24
42.359,-71.156,38
42.386,-71.0965,15
42.2755,-71.0585,2
42.3095,-71.1055,31
42.2775,-71.1425,353
42.4125,-71.0695,42
42.2975,-71.092,504
42.349000000000004,-71.042,2
42.353500000000004,-71.177,4
42.361000000000004,-71.171,13
42.397,-71.138,5
42.352000000000004,-71.081,105
42.4,-71.133,2
42.353500000000004,-71.069,360
42.3725,-71.099,19
42.353,-71.087,4
42.335,-71.037,9
42.3815,-71.0975,8
42.392,-71.11,5
42.350500000000004,-71.0735,184
42.3495,-71.1045,537
42.350500000000004,-71.125,15
42.3305,-71.2195,6
42.365,-71.06700000000001,23
42.383,-71.113,70
42.264,-71.266,1
42.3635,-71.13850000000001,3
42.3515,-71.174,9
42.343,-71.15350000000001,17
42.336,-71.0775,18
42.341,-71.078,27
42.397,-71.123,51
42.350500000000004,-71.1155,122
42.338,-71.0425,23
42.33,-71.04,293
